"Female","Month","Repro","BCI","NewMeanGroup","Rain"
"412","Anna","Oct","MPY","3",9.56,123.8
"413","Apanie","Oct","MPY","2",7.45,123.8
"414","Blondie","Oct","MPY","3",7.83,123.8
"415","Brigit","Oct","MPY","3",9.77,123.8
"416","Camilla","Oct","MPY","3",8.2,123.8
"417","Celine","Oct","MPY","3",8.92,123.8
"418","Cotton","Oct","MPY","3",8.91,123.8
"419","Daisy","Oct","MPY","2",6.29,123.8
"420","Deberah","Oct","MPY","2",4.1,123.8
"421","Delilah","Oct","MPY","2",5.64,123.8
"422","Dianne","Oct","MPY","3",6.44,123.8
"423","Ditto","Oct","MPY","3",10.4,123.8
"424","Dot","Oct","MPY","1",8.09,123.8
"425","Emma","Oct","MPY","2",8.54,123.8
"426","Esther","Oct","MPY","3",8.33,123.8
"427","Goggles","Oct","MPY","3",9.36,123.8
"428","Hazel","Oct","MPY","3",10.5,123.8
"429","Jo","Oct","MPY","3",6.25,123.8
"430","Julliet","Oct","MPY","2",10,123.8
"431","Justine","Oct","MPY","2",6.64,123.8
"432","Lumpy","Oct","MPY","2",5.36,123.8
"433","Qantas","Oct","MPY","2",10.21,123.8
"434","Blondie","Nov","MPY","3",6.82,80.6
"435","Brigit","Nov","MPY","3",3.91,80.6
"436","Darcy","Nov","MPY","3",4.88,80.6
"437","Delilah","Nov","MPY","3",4.78,80.6
"438","Dot","Nov","MPY","2",6.3,80.6
"439","Goggles","Nov","MPY","3",5,80.6
"440","Granite","Nov","MPY","2",4.56,80.6
"441","Qantas","Nov","MPY","2",7.75,80.6
"442","Darcy","Dec","MPY","3",7.42,48.8
"443","Granite","Dec","MPY","2",4.78,48.8
"444","Shaddow","Dec","MPY","3",5.9,48.8
"445","Susan","Dec","MPY","2",6.09,48.8
"446","Susan","Jan","MPY","2",6.67,149.15
"447","Cyprus","Feb","MPY","3",2.75,135.3
"448","Jacquei","Feb","MPY","3",6.11,135.3
"449","Mary","Feb","MPY","3",5.22,135.3
"450","Susan","Feb","MPY","2",4.3,135.3
"451","Jacquei","Mar","MPY","3",8.4,30.45
