UniqueID,Year,Admin,Longitude,Latitude,Area
11401,2006,2,-50.09551528,-21.40468754,708.0430341
11537,2006,2,-49.35821499,-20.79678619,708.0430341
11543,2006,2,-46.64735526,-23.64969432,708.0430341
6865,2007,2,-38.44383526,-12.90289186,708.0430341
6955,2007,2,-39.60026526,-3.396728726,708.0430341
6977,2007,2,-38.93728673,-7.539404503,708.0430341
6978,2007,2,-40.80594409,-2.954596056,708.0430341
6980,2007,2,-39.41953901,-4.40087286,708.0430341
6987,2007,2,-38.29666195,-4.235471021,708.0430341
6990,2007,2,-38.80632235,-3.781040651,708.0430341
6997,2007,2,-39.480165,-7.212950077,708.0430341
7004,2007,2,-40.22736157,-3.829339782,708.0430341
7005,2007,2,-38.52850792,-3.784849794,708.0430341
7034,2007,2,-39.78226916,-3.238678671,708.0430341
7045,2007,2,-39.28221936,-7.181933801,708.0430341
7051,2007,2,-38.8242337,-4.002709643,708.0430341
7053,2007,2,-40.63571464,-3.178940094,708.0430341
7062,2007,2,-40.04755875,-4.934460024,708.0430341
7076,2007,2,-40.68849433,-3.992687344,708.0430341
7081,2007,2,-40.62116079,-6.301232143,708.0430341
7095,2007,2,-38.95257426,-4.946341846,708.0430341
7097,2007,2,-39.34084995,-5.24801494,708.0430341
7101,2007,2,-38.14608573,-4.842209104,708.0430341
7103,2007,2,-40.36343393,-7.201408042,708.0430341
7118,2007,2,-40.25283022,-5.933417614,708.0430341
7119,2007,2,-39.58241598,-3.934210712,708.0430341
7126,2007,2,-39.52242759,-3.618094976,708.0430341
7301,2007,2,-49.27509198,-16.64207616,708.0430341
7433,2007,2,-49.59603412,-16.04348661,708.0430341
7476,2007,2,-45.25415524,-5.653789131,708.0430341
7636,2007,2,-44.28225011,-2.631781763,708.0430341
7671,2007,2,-55.76075394,-20.70674265,708.0430341
7687,2007,2,-54.24939436,-20.91267252,708.0430341
7706,2007,2,-54.83762846,-22.1448421,708.0430341
7742,2007,2,-55.02479441,-20.44638296,708.0430341
7743,2007,2,-52.21109946,-20.43827364,708.0430341
7779,2007,2,-55.88939935,-15.4799639,708.0430341
7936,2007,2,-43.95973192,-19.90239669,708.0430341
8081,2007,2,-44.61759708,-18.33595254,708.0430341
